acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,acc_pitch,acc_heading,acc_roll,gyr_pitch,gyr_heading,gyr_roll,time
2.12,-1.18,8.87,-22.09,-8.18,-35.0,0.11,-0.04,-0.11,-1.18,8.87,2.12,-0.04,-0.11,0.11,37679.0
1.8,0.04,9.26,-22.09,-8.09,-34.8,-0.05,0.06,0.04,0.04,9.26,1.8,0.06,0.04,-0.05,37675.0
1.69,-0.35,9.92,-22.0,-8.09,-34.8,-0.03,0.01,0.01,-0.35,9.92,1.69,0.01,0.01,-0.03,37678.0
1.88,-1.53,9.57,-22.0,-8.09,-34.8,0.16,-0.03,-0.12,-1.53,9.57,1.88,-0.03,-0.12,0.16,37678.0
1.8,0.27,9.45,-22.27,-8.0,-34.9,0.0,0.03,-0.02,0.27,9.45,1.8,0.03,-0.02,0.0,37675.0
1.92,-0.12,9.06,-22.27,-8.0,-34.9,-0.05,0.07,0.02,-0.12,9.06,1.92,0.07,0.02,-0.05,37678.0
1.73,-1.29,9.61,-21.91,-8.45,-35.2,0.0,0.09,-0.01,-1.29,9.61,1.73,0.09,-0.01,0.0,37678.0
1.61,-0.35,9.85,-21.91,-8.45,-35.2,-0.03,0.02,0.03,-0.35,9.85,1.61,0.02,0.03,-0.03,37677.0
1.73,-1.29,9.38,-21.91,-8.45,-35.2,0.08,-0.04,-0.03,-1.29,9.38,1.73,-0.04,-0.03,0.08,37677.0
1.8,0.75,9.41,-21.45,-8.45,-35.31,-0.2,-0.01,0.2,0.75,9.41,1.8,-0.01,0.2,-0.2,37676.0
1.57,-0.12,9.73,-21.45,-8.45,-35.31,-0.21,-0.12,0.39,-0.12,9.73,1.57,-0.12,0.39,-0.21,37677.0
1.14,1.06,10.24,-22.0,-8.0,-35.31,-0.46,-0.41,0.81,1.06,10.24,1.14,-0.41,0.81,-0.46,37674.0
1.92,1.88,8.04,-22.0,-8.0,-35.31,-0.74,0.03,1.19,1.88,8.04,1.92,0.03,1.19,-0.74,37673.0
1.77,-1.49,8.63,-23.09,-6.18,-34.69,-0.57,0.13,1.13,-1.49,8.63,1.77,0.13,1.13,-0.57,37677.0
1.61,-1.57,8.94,-23.45,-3.0,-34.8,-0.47,0.38,1.1,-1.57,8.94,1.61,0.38,1.1,-0.47,37676.0
1.45,-3.14,7.61,-23.45,-3.0,-34.8,-0.44,1.0,0.89,-3.14,7.61,1.45,1.0,0.89,-0.44,37676.0
0.94,-4.04,8.9,-22.18,-0.91,-35.61,-0.11,1.23,0.5,-4.04,8.9,0.94,1.23,0.5,-0.11,37678.0
0.82,-2.16,7.53,-22.18,-0.91,-35.61,-0.14,1.38,0.45,-2.16,7.53,0.82,1.38,0.45,-0.14,37677.0
-0.51,-2.75,10.24,-19.0,0.09,-37.55,-0.0,1.63,0.31,-2.75,10.24,-0.51,1.63,0.31,-0.0,37676.0
0.47,-3.65,4.08,-19.0,0.09,-37.55,0.22,2.71,-0.06,-3.65,4.08,0.47,2.71,-0.06,0.22,37680.0
-2.71,-3.8,10.24,-14.27,0.27,-39.39,0.34,1.51,-0.4,-3.8,10.24,-2.71,1.51,-0.4,0.34,37678.0
-4.94,-3.88,12.79,-7.0,-0.91,-41.53,0.46,0.72,-0.91,-3.88,12.79,-4.94,0.72,-0.91,0.46,37678.0
-3.33,-5.84,9.3,-7.0,-0.91,-41.53,1.16,0.68,-1.35,-5.84,9.3,-3.33,0.68,-1.35,1.16,37680.0
-2.59,-2.86,6.0,-4.0,-2.82,-41.63,1.6,1.95,-1.47,-2.86,6.0,-2.59,1.95,-1.47,1.6,37683.0
-4.51,1.96,9.14,-4.0,-2.82,-41.63,1.29,-0.1,-0.74,1.96,9.14,-4.51,-0.1,-0.74,1.29,37683.0
-5.02,4.04,10.75,2.36,-6.27,-41.12,0.66,-0.57,-0.49,4.04,10.75,-5.02,-0.57,-0.49,0.66,37678.0
-2.94,0.78,8.59,2.0,-8.18,-40.82,0.51,-0.38,-0.19,0.78,8.59,-2.94,-0.38,-0.19,0.51,37681.0
-2.75,1.22,8.0,2.0,-8.18,-40.82,0.12,-0.4,0.1,1.22,8.0,-2.75,-0.4,0.1,0.12,37679.0
-3.88,1.26,9.69,0.55,-9.18,-40.71,-0.56,-0.38,0.21,1.26,9.69,-3.88,-0.38,0.21,-0.56,37680.0
-2.79,-1.06,8.98,0.55,-9.18,-40.71,-0.03,-0.32,0.05,-1.06,8.98,-2.79,-0.32,0.05,-0.03,37678.0
-2.47,-1.88,8.71,-0.73,-8.09,-40.82,0.18,-0.29,0.02,-1.88,8.71,-2.47,-0.29,0.02,0.18,37684.0
-2.55,0.16,8.2,-0.73,-8.09,-40.82,-0.09,-0.17,0.09,0.16,8.2,-2.55,-0.17,0.09,-0.09,37683.0
